game_id,team_id,player_id,player_name,is_starter,minutes_played,jersey_number,starting_position
1787312,324,327699,Patrick Pentz,True,100,13,GK
1787312,324,333741,Stefan Posch,True,100,5,DR
1787312,324,301024,Max Wöber,True,59,2,DC
1787312,324,330816,Kevin Danso,True,100,4,DC
1787312,324,124021,Phillipp Mwene,True,88,16,DL
1787312,324,418587,Nicolas Seiwald,True,100,6,DMC
1787312,324,291937,Florian Grillitsch,True,60,10,DMC
1787312,324,248010,Konrad Laimer,True,91,20,AMR
1787312,324,369979,Christoph Baumgartner,True,100,19,AMC
1787312,324,92051,Marcel Sabitzer,True,100,9,AML
1787312,324,84919,Michael Gregoritsch,True,59,11,FW
1787312,324,418588,Alexander Prass,False,12,8,Sub
1787312,324,418589,Patrick Wimmer,False,40,23,Sub
1787312,324,34693,Marko Arnautovic,False,41,7,Sub
1787312,324,383847,Romano Schmid,False,9,18,Sub
1787312,324,384574,Gernot Trauner,False,41,3,Sub
1787312,324,398415,Flavius Daniliuc,False,0,21,Sub
1787312,324,405308,Niklas Hedl,False,0,12,Sub
1787312,324,427502,Leopold Querfeld,False,0,14,Sub
1787312,324,499126,Matthias Seidl,False,0,22,Sub
1787312,324,39336,Heinz Lindner,False,0,1,Sub
1787312,324,80719,Andreas Weimann,False,0,24,Sub
1787312,324,296499,Florian Kainz,False,0,17,Sub
1787312,324,298415,Maximilian Entrup,False,0,25,Sub
1787312,324,298446,Philipp Lienhart,False,0,15,Sub
1787312,324,385080,Marco Grüll,False,0,26,Sub
1787312,341,141646,Mike Maignan,True,100,16,GK
1787312,341,301019,Jules Koundé,True,100,5,DR
1787312,341,327721,Dayot Upamecano,True,100,4,DC
1787312,341,361822,William Saliba,True,100,17,DC
1787312,341,303115,Théo Hernández,True,100,22,DL
1787312,341,114075,N'Golo Kanté,True,100,13,DMC
1787312,341,116609,Adrien Rabiot,True,71,14,DMC
1787312,341,299513,Ousmane Dembélé,True,71,11,AMR
1787312,341,80241,Antoine Griezmann,True,91,7,AMC
1787312,341,296322,Marcus Thuram,True,100,15,AML
1787312,341,300713,Kylian Mbappé,True,90,10,FW
1787312,341,24444,Olivier Giroud,False,10,9,Sub
1787312,341,333542,Randal Kolo Muani,False,29,12,Sub
1787312,341,362470,Youssouf Fofana,False,9,19,Sub
1787312,341,369109,Eduardo Camavinga,False,29,6,Sub
1787312,341,92516,Alphonse Areola,False,0,23,Sub
1787312,341,105198,Brice Samba,False,0,1,Sub
1787312,341,125883,Kingsley Coman,False,0,20,Sub
1787312,341,259648,Benjamin Pavard,False,0,2,Sub
1787312,341,296337,Ferland Mendy,False,0,3,Sub
1787312,341,301869,Jonathan Clauss,False,0,21,Sub
1787312,341,345957,Ibrahima Konaté,False,0,24,Sub
1787312,341,353423,Aurélien Tchouaméni,False,0,8,Sub
1787312,341,425366,Bradley Barcola,False,0,25,Sub
1787312,341,444679,Warren Zaïre-Emery,False,0,18,Sub
1787315,336,13754,Manuel Neuer,True,97,1,GK
1787315,336,283323,Joshua Kimmich,True,97,6,DR
1787315,336,104010,Antonio Rüdiger,True,97,2,DC
1787315,336,134946,Jonathan Tah,True,97,4,DC
1787315,336,261020,Maximilian Mittelstädt,True,97,18,DL
1787315,336,31772,Toni Kroos,True,83,8,DMC
1787315,336,122140,Robert Andrich,True,49,23,DMC
1787315,336,395252,Jamal Musiala,True,77,10,AMR
1787315,336,77464,Ilkay Gündogan,True,97,21,AMC
1787315,336,394786,Florian Wirtz,True,66,17,AML
1787315,336,326413,Kai Havertz,True,66,7,FW
1787315,336,37099,Thomas Müller,False,20,13,Sub
1787315,336,71824,Pascal Groß,False,48,5,Sub
1787315,336,104058,Niclas Füllkrug,False,31,9,Sub
1787315,336,111212,Emre Can,False,14,25,Sub
1787315,336,144711,Leroy Sané,False,31,19,Sub
1787315,336,77440,Oliver Baumann,False,0,12,Sub
1787315,336,80774,Marc-André ter Stegen,False,0,22,Sub
1787315,336,276205,Robin Koch,False,0,24,Sub
1787315,336,296768,Waldemar Anton,False,0,16,Sub
1787315,336,296769,Benjamin Henrichs,False,0,20,Sub
1787315,336,330538,David Raum,False,0,3,Sub
1787315,336,349888,Chris Führich,False,0,11,Sub
1787315,336,357091,Deniz Undav,False,0,26,Sub
1787315,336,371275,Nico Schlotterbeck,False,0,15,Sub
1787315,336,387125,Maximilian Beier,False,0,14,Sub
1787315,424,318896,Angus Gunn,True,97,1,GK
1787315,424,291944,Anthony Ralston,True,97,2,DR
1787315,424,280210,Jack Hendry,True,97,13,DC
1787315,424,297403,Kieran Tierney,True,80,6,DC
1787315,424,388017,Ryan Porteous,True,44,15,DC
1787315,424,115726,Andy Robertson,True,97,3,DL
1787315,424,318449,John McGinn,True,70,7,MR
1787315,424,36471,Callum McGregor,True,70,8,MC
1787315,424,336915,Scott McTominay,True,97,4,MC
1787315,424,128882,Ryan Christie,True,85,11,ML
1787315,424,256419,Ché Adams,True,49,10,FW
1787315,424,82917,Kenny McLean,False,27,23,Sub
1787315,424,86593,Grant Hanley,False,48,5,Sub
1787315,424,364624,Scott McKenna,False,17,26,Sub
1787315,424,381255,Billy Gilmour,False,27,14,Sub
1787315,424,384861,Lawrence Shankland,False,12,9,Sub
1787315,424,38462,Ryan Jack,False,0,20,Sub
1787315,424,44148,Liam Cooper,False,0,16,Sub
1787315,424,81481,James Forrest,False,0,25,Sub
1787315,424,93677,Stuart Armstrong,False,0,17,Sub
1787315,424,363668,Ross McCrorie,False,0,22,Sub
1787315,424,364232,Lewis Morgan,False,0,18,Sub
